,0
grade:A,0
grade:B,1
grade:C,0
grade:D,0
grade:E,0
grade:F,0
home_ownership:OWN,0
home_ownership:MORTGAGE,0
addr_state:NM_VA,0
addr_state:NY,0
addr_state:OK_TN_MO_LA_MD_NC,0
addr_state:CA,0
addr_state:UT_KY_AZ_NJ,1
addr_state:AR_MI_PA_OH_MN,0
addr_state:RI_MA_DE_SD_IN,0
addr_state:GA_WA_OR,0
addr_state:WI_MT,0
addr_state:TX,0
addr_state:IL_CT,0
addr_state:KS_SC_CO_VT_AK_MS,0
addr_state:WV_NH_WY_DC_ME_ID,0
verification_status:Not Verified,0
verification_status:Source Verified,0
purpose:credit_card,1
purpose:debt_consolidation,0
purpose:oth__med__vacation,0
purpose:major_purch__car__home_impr,0
initial_list_status:w,0
term:36,1
emp_length:1,0
emp_length:2-4,0
emp_length:5-6,0
emp_length:7-9,0
emp_length:10,1
months_since_issue_d:<38,0
months_since_issue_d:38-39,0
months_since_issue_d:40-41,0
months_since_issue_d:42-48,0
months_since_issue_d:49-52,0
months_since_issue_d:53-64,0
months_since_issue_d:65-84,0
int_rate:<9.548,0
int_rate:9.548-12.025,1
int_rate:12.025-15.74,0
int_rate:15.74-20.281,0
months_since_earliest_cr_line:141-164,0
months_since_earliest_cr_line:165-247,0
months_since_earliest_cr_line:248-270,0
months_since_earliest_cr_line:271-352,0
months_since_earliest_cr_line:>352,1
inq_last_6mths:0,0
inq_last_6mths:1-2,1
inq_last_6mths:3-6,0
acc_now_delinq:>=1,0
annual_inc:20K-30K,1
annual_inc:30K-40K,0
annual_inc:40K-50K,0
annual_inc:50K-60K,0
annual_inc:60K-70K,0
annual_inc:70K-80K,0
annual_inc:80K-90K,0
annual_inc:90K-100K,0
annual_inc:100K-120K,0
annual_inc:120K-140K,0
annual_inc:>140K,0
dti:<=1.4,0
dti:1.4-3.5,0
dti:3.5-7.7,0
dti:7.7-10.5,0
dti:10.5-16.1,0
dti:16.1-20.3,0
dti:20.3-21.7,0
dti:21.7-22.4,0
dti:22.4-35,1
mths_since_last_delinq:Missing,1
mths_since_last_delinq:4-30,0
mths_since_last_delinq:31-56,0
mths_since_last_delinq:>=57,0
mths_since_last_record:Missing,1
mths_since_last_record:3-20,0
mths_since_last_record:21-31,0
mths_since_last_record:32-80,0
mths_since_last_record:81-86,0
mths_since_last_record:>86,0
