,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3544201090324537,,Intercept,311.0856672327276,311.0,-0.08566723272758736,311.0
1,1,grade:A,1.171799865770039,0.0,grade,91.98128727698112,92.0,0.018712723018879274,92.0
2,2,grade:B,0.9944331150330645,1.784443531697887e-227,grade,78.05875448832829,78.0,-0.05875448832829022,78.0
3,3,grade:C,0.8274617891320434,6.162241156363554e-07,grade,64.95221817324882,65.0,0.04778182675117648,65.0
4,4,grade:D,0.6299871280725151,1.660383821183526e-272,grade,49.45130026103808,49.0,-0.4513002610380781,49.0
5,5,grade:E,0.37131807444057996,0.0,grade,29.146883758866288,29.0,-0.1468837588662879,29.0
6,6,grade:F,0.14432434402075422,0.0,grade,11.328844913044255,11.0,-0.32884491304425545,11.0
7,7,home_ownership:OWN,0.1226937299887123,0.27865294002004926,home_ownership,9.630934048417819,10.0,0.36906595158218103,10.0
8,8,home_ownership:MORTGAGE,0.1248683049281826,5.696552017138885e-75,home_ownership,9.801628898328303,10.0,0.1983711016716967,10.0
9,9,addr_state:NM_VA,0.033873402776422444,0.010408520059369165,addr_state,2.658917518973714,3.0,0.341082481026286,3.0
10,10,addr_state:NY,0.05524943430262481,0.00011634626551545984,addr_state,4.336844743655,4.0,-0.33684474365499995,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06958179293454932,0.0005809612946446313,addr_state,5.461873714206598,5.0,-0.4618737142065976,5.0
12,12,addr_state:CA,0.05988336001544045,0.00011238711380237798,addr_state,4.7005881307824495,5.0,0.2994118692175505,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07893210361996705,0.15497585654120186,addr_state,6.195833188352175,6.0,-0.1958331883521751,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.14463223833805097,0.9918803706739378,addr_state,11.353013302611028,11.0,-0.3530133026110285,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.11028547042897421,0.20206561401241488,addr_state,8.656938641427736,9.0,0.34306135857226394,9.0
16,16,addr_state:GA_WA_OR,0.18660523350555644,0.0009966738704270503,addr_state,14.647714248698449,15.0,0.35228575130155093,15.0
17,17,addr_state:WI_MT,0.24957362530707144,0.0217462952975629,addr_state,19.590464205286423,20.0,0.4095357947135767,20.0
18,18,addr_state:TX,0.22787754334682592,7.092125148222699e-13,addr_state,17.887414387765872,18.0,0.11258561223412755,18.0
19,19,addr_state:IL_CT,0.26463567526246956,4.022011296786589e-11,addr_state,20.772770829820207,21.0,0.22722917017979327,21.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3250021359950639,5.856383224170319e-16,addr_state,25.51128030463613,26.0,0.4887196953638693,26.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5254935108316194,6.632919410221652e-17,addr_state,41.2489973705785,41.0,-0.24899737057850047,41.0
22,22,verification_status:Not Verified,0.07062503653911106,1.6487317642129542e-61,verification_status,5.543763883760431,6.0,0.4562361162395687,6.0
23,23,verification_status:Source Verified,0.02259441576165822,6.2033297310129155e-09,verification_status,1.77356518611898,2.0,0.22643481388101994,2.0
24,24,purpose:credit_card,0.39264031274113304,7.935414550705266e-96,purpose,30.820588444966937,31.0,0.17941155503306305,31.0
25,25,purpose:debt_consolidation,0.27241026935411217,1.195126306300866e-08,purpose,21.38304327778244,21.0,-0.3830432777824413,21.0
26,26,purpose:oth__med__vacation,0.2637522379447194,1.3604355020239678e-38,purpose,20.703424771599092,21.0,0.2965752284009078,21.0
27,27,purpose:major_purch__car__home_impr,0.3044691491776857,6.363878417627367e-13,purpose,23.89952849080347,24.0,0.10047150919653092,24.0
28,28,initial_list_status:w,0.13777693105861702,1.375607760935832e-123,initial_list_status,10.814900945150374,11.0,0.1850990548496263,11.0
29,29,term:36,0.09226861268278232,1.5177472074283534e-93,term,7.242692218817032,7.0,-0.24269221881703196,7.0
30,30,emp_length:1,0.07971402079156656,0.06910272509857843,emp_length,6.2572103484702435,6.0,-0.2572103484702435,6.0
31,31,emp_length:2-4,0.10163209969239712,0.906613895066039,emp_length,7.97768597816491,8.0,0.022314021835089903,8.0
32,32,emp_length:5-6,0.06182580276134028,1.4760851161237303e-05,emp_length,4.853061594424886,5.0,0.1469384055751144,5.0
33,33,emp_length:7-9,0.055251913644877186,0.052070239637333676,emp_length,4.337039361437981,4.0,-0.33703936143798074,4.0
34,34,emp_length:10,0.12785219704585946,1.0220585202390792e-26,emp_length,10.035851691910205,10.0,-0.035851691910204764,10.0
35,35,months_since_issue_d:<38,0.0,,months_since_issue_d,0.0,0.0,0.0,0.0
36,36,months_since_issue_d:38-39,0.0,,months_since_issue_d,0.0,0.0,0.0,0.0
37,37,months_since_issue_d:40-41,0.0,,months_since_issue_d,0.0,0.0,0.0,0.0
38,38,months_since_issue_d:42-48,0.0,,months_since_issue_d,0.0,0.0,0.0,0.0
39,39,months_since_issue_d:49-52,0.0,,months_since_issue_d,0.0,0.0,0.0,0.0
40,40,months_since_issue_d:53-64,0.0,,months_since_issue_d,0.0,0.0,0.0,0.0
41,41,months_since_issue_d:65-84,0.5231763541946367,0.0,months_since_issue_d,41.067110466066865,41.0,-0.06711046606686466,41.0
42,42,int_rate:<9.548,0.7917135337610927,0.0,int_rate,62.14613272898611,62.0,-0.1461327289861103,62.0
43,43,int_rate:9.548-12.025,0.424172322532335,6.548562779056551e-209,int_rate,33.295716609552606,33.0,-0.29571660955260626,33.0
44,44,int_rate:12.025-15.74,0.15834994624292528,3.489128037080836e-07,int_rate,12.429794814913725,12.0,-0.4297948149137252,12.0
45,45,int_rate:15.74-20.281,-0.017799636361974312,0.0,int_rate,-1.3971954712255095,-1.0,0.39719547122550947,-2.0
46,46,months_since_earliest_cr_line:141-164,0.027646083057752843,1.3778743243619583e-15,months_since_earliest_cr_line,2.1700995042761706,2.0,-0.1700995042761706,2.0
47,47,months_since_earliest_cr_line:165-247,-0.001272176321448815,6.527018744740433e-31,months_since_earliest_cr_line,-0.09986041056017711,-0.0,0.09986041056017711,-0.0
48,48,months_since_earliest_cr_line:248-270,-0.027437103562173437,0.00198327742103935,months_since_earliest_cr_line,-2.153695505966053,-2.0,0.15369550596605297,-2.0
49,49,months_since_earliest_cr_line:271-352,0.02175550557127807,2.1852008851715374e-10,months_since_earliest_cr_line,1.7077143173187557,2.0,0.29228568268124433,2.0
50,50,months_since_earliest_cr_line:>352,0.057791652823286445,5.191814796699653e-48,months_since_earliest_cr_line,4.536398045289982,5.0,0.4636019547100183,5.0
51,51,inq_last_6mths:0,0.8084957807474445,1.8774419494494217e-137,inq_last_6mths,63.46346747726285,63.0,-0.46346747726285287,63.0
52,52,inq_last_6mths:1-2,0.6450900224913414,3.3378622255038656e-51,inq_last_6mths,50.63681300159389,51.0,0.3631869984061069,51.0
53,53,inq_last_6mths:3-6,0.4206496275224946,2.6946691388605217e-178,inq_last_6mths,33.01920008898073,33.0,-0.019200088980731778,33.0
54,54,acc_now_delinq:>=1,0.25532494440482595,0.2510629994089275,acc_now_delinq,20.041918203196303,20.0,-0.04191820319630324,20.0
55,55,annual_inc:20K-30K,-0.06448607089578746,5.527315114664363e-72,annual_inc,-5.061881286811167,-5.0,0.061881286811167335,-5.0
56,56,annual_inc:30K-40K,0.005303978906364883,3.487032575281031e-79,annual_inc,0.4163397024941616,0.0,-0.4163397024941616,0.0
57,57,annual_inc:40K-50K,0.10536738363789849,3.290076253837456e-34,annual_inc,8.270889822685305,8.0,-0.27088982268530515,8.0
58,58,annual_inc:50K-60K,0.17461573175472994,6.622507770952156e-08,annual_inc,13.706589542112194,14.0,0.2934104578878056,14.0
59,59,annual_inc:60K-70K,0.2572662539772853,0.16270371165833875,annual_inc,20.194302717560962,20.0,-0.19430271756096218,20.0
60,60,annual_inc:70K-80K,0.33054113993599155,8.9337205701247e-10,annual_inc,25.94606846906726,26.0,0.053931530932739946,26.0
61,61,annual_inc:80K-90K,0.412930745133827,2.7427436086669247e-25,annual_inc,32.4133007718796,32.0,-0.413300771879598,32.0
62,62,annual_inc:90K-100K,0.4368053824273376,2.179257889313083e-28,annual_inc,34.287357883232,34.0,-0.28735788323199785,34.0
63,63,annual_inc:100K-120K,0.5160572951653596,2.415526262891759e-54,annual_inc,40.50829472214849,41.0,0.4917052778515085,41.0
64,64,annual_inc:120K-140K,0.6091120895757972,4.0520108676408165e-45,annual_inc,47.812698850529415,48.0,0.18730114947058496,48.0
65,65,annual_inc:>140K,0.5528339764890782,2.0565862814693045e-60,annual_inc,43.39510721355289,43.0,-0.39510721355289036,43.0
66,66,dti:<=1.4,0.06078036962783614,0.5910876321465034,dti,4.770999556195749,5.0,0.22900044380425122,5.0
67,67,dti:1.4-3.5,0.2077493782132799,2.4932502278727527e-07,dti,16.307439348008916,16.0,-0.30743934800891637,16.0
68,68,dti:3.5-7.7,0.2476086284576498,1.2003815899632562e-43,dti,19.436220340796613,19.0,-0.43622034079661276,19.0
69,69,dti:7.7-10.5,0.1914132032658001,5.0905740746185405e-31,dti,15.025119350588774,15.0,-0.025119350588774125,15.0
70,70,dti:10.5-16.1,0.11854056519672639,2.315884575343799e-25,dti,9.304928341300537,9.0,-0.3049283413005366,9.0
71,71,dti:16.1-20.3,0.022339384217092757,0.00021659924597545077,dti,1.7535462985507069,2.0,0.24645370144929313,2.0
72,72,dti:20.3-21.7,0.012620212436891957,1.1088686302545379e-06,dti,0.9906328030610102,1.0,0.009367196938989797,1.0
73,73,dti:21.7-22.4,-0.02119153562866991,2.265976389666101e-06,dti,-1.6634450843021305,-2.0,-0.33655491569786955,-2.0
74,74,dti:22.4-35,-0.031503559889189896,1.5030493187049584e-89,dti,-2.4728949687248254,-2.0,0.4728949687248254,-2.0
75,75,mths_since_last_delinq:Missing,0.08700668442262621,0.026612980365414766,mths_since_last_delinq,6.829653312544221,7.0,0.17034668745577886,7.0
76,76,mths_since_last_delinq:4-30,0.1512764697900468,0.11099819629962894,mths_since_last_delinq,11.87455710865949,12.0,0.12544289134051034,12.0
77,77,mths_since_last_delinq:31-56,0.18668679904334992,0.0003131505124484461,mths_since_last_delinq,14.654116795227802,15.0,0.345883204772198,15.0
78,78,mths_since_last_delinq:>=57,0.13123958509237232,0.912394019664019,mths_since_last_delinq,10.301747193460004,10.0,-0.3017471934600042,10.0
79,79,mths_since_last_record:Missing,0.45982677035795677,0.560838643481371,mths_since_last_record,36.094438561953176,36.0,-0.09443856195317579,36.0
80,80,mths_since_last_record:3-20,0.65940185295334,0.002419177179634466,mths_since_last_record,51.76023059843707,52.0,0.23976940156293125,52.0
81,81,mths_since_last_record:21-31,0.5896575943311408,0.04851663413536602,mths_since_last_record,46.28560402128442,46.0,-0.28560402128442064,46.0
